nombre_pokemon,altura,peso,estado_evolutivo,nombre_tipo,descripcion_pokemon,imagen_url
"WEEDLE",0.30,3.20,"BASICO","BICHO","EL AGUIJÓN DE LA CABEZA ES MUY PUNTIAGUDO. SE ALIMENTA DE HOJAS OCULTO EN LA ESPESURA DE BOSQUES Y PRADERAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png"
"KAKUNA",0.60,10.00,"INTERMEDIO","BICHO","AUNQUE ES CASI INCAPAZ DE MOVERSE, EN CASO DE SENTIRSE AMENAZADO PUEDE ENVENENAR A LOS ENEMIGOS CON SU AGUIJÓN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png"
"BEEDRILL",1.00,29.50,"FINAL","BICHO","TIENE TRES AGUIJONES VENENOSOS, DOS EN LAS PATAS ANTERIORES Y UNO EN LA PARTE BAJA DEL ABDOMEN, CON LOS QUE ATACA A SUS ENEMIGOS UNA Y OTRA VEZ.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png"
"PIDGEY",0.30,1.80,"BASICO","NORMAL","SU DOCILIDAD ES TAL QUE SUELEN DEFENDERSE LEVANTANDO ARENA EN LUGAR DE CONTRAATACAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png"
"PIDGEOTTO",1.10,30.00,"INTERMEDIO","NORMAL","SU EXTRAORDINARIA VITALIDAD Y RESISTENCIA LE PERMITEN CUBRIR GRANDES DISTANCIAS DEL TERRITORIO QUE HABITA EN BUSCA DE PRESAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png"
"PIDGEOT",1.50,39.50,"FINAL","NORMAL","ESTE POKÉMON VUELA A UNA VELOCIDAD DE 2 MACH EN BUSCA DE PRESAS. SUS GRANDES GARRAS SON ARMAS MUY PELIGROSAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png"
"RATTATA",0.30,3.50,"BASICO","NORMAL","ES PROPENSO A HINCAR LOS INCISIVOS EN CUALQUIER COSA QUE SE LE PONGA POR DELANTE. SI SE VE ALGUNO, SEGURAMENTE HAYA CUARENTA CERCA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png"
"RATICATE",0.70,18.50,"FINAL","NORMAL","GRACIAS A LAS PEQUEÑAS MEMBRANAS DE LAS PATAS TRASERAS, PUEDE NADAR POR LOS RÍOS PARA CAPTURAR PRESAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png"
"SPEAROW",0.30,2.00,"BASICO","NORMAL","A LA HORA DE PROTEGER SU TERRITORIO, COMPENSA SU INCAPACIDAD PARA VOLAR A GRAN ALTURA CON UNA INCREÍBLE VELOCIDAD.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png"
"FEAROW",1.20,38.00,"FINAL","NORMAL","ESTE POKÉMON HA EXISTIDO DESDE TIEMPOS REMOTOS. AL MENOR ATISBO DE PELIGRO, ALZA EL VUELO Y HUYE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png"
"EKANS",2.00,6.90,"BASICO","VENENO","LA LONGITUD DE ESTE POKÉMON AUMENTA CON EL TIEMPO. POR LA NOCHE, SE ENROSCA EN LAS RAMAS DE LOS ÁRBOLES PARA DESCANSAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png"
"ARBOK",3.50,65.00,"FINAL","VENENO","SE HAN LLEGADO A IDENTIFICAR HASTA SEIS VARIACIONES DISTINTAS DE LOS ESPELUZNANTES DIBUJOS DE SU PIEL.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png"
"PIKACHU",0.40,6.00,"INTERMEDIO","ELECTRICO","LOS MIEMBROS DE ESTA ESPECIE SE SALUDAN ENTRE SÍ UNIENDO SUS COLAS Y TRANSMITIÉNDOSE CORRIENTE ELÉCTRICA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png"
"RAICHU",0.80,30.00,"FINAL","ELECTRICO","CUANDO HA DESCARGADO LAS BOLSAS DE LAS MEJILLAS, LEVANTA LA COLA Y ABSORBE LA CARGA ELÉCTRICA QUE HAY EN EL AMBIENTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png"
"SANDSHREW",0.60,12.00,"BASICO","TIERRA","EXCAVA MADRIGUERAS PROFUNDAS EN LAS QUE VIVE. PARTE CON SUS AFILADAS GARRAS CUALQUIER ROCA, POR DURA QUE SEA, QUE LE ENTORPEZCA EL CAMINO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png"
"SANDSLASH",1.00,29.50,"FINAL","TIERRA","TREPA A LOS ÁRBOLES CON SUS AFILADAS GARRAS Y DEJA CAER BAYAS PARA LOS SANDSHREW QUE ESPERAN DEBAJO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png"
"NIDORAN♀",0.40,7.00,"BASICO","VENENO","PARTE LAS BAYAS CON SUS DUROS INCISIVOS PARA COMÉRSELAS. LA PUNTA DEL CUERNO DE LAS HEMBRAS ES MÁS REDONDEADA QUE LA DE LOS MACHOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png"
"NIDORINA",0.80,20.00,"INTERMEDIO","VENENO","CUANDO EL PELIGRO SE CIERNE SOBRE LA MANADA, LOS MIEMBROS UNEN FUERZAS PARA DEFENDERSE EMITIENDO UN CORO DE ONDAS ULTRASÓNICAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png"
"NIDOQUEEN",1.30,60.00,"FINAL","VENENO","PARA MECER A SUS CRÍAS, LAS COLOCA EN LOS HUECOS QUE TIENE ENTRE LAS PÚAS DORSALES, MOMENTO DURANTE EL CUAL NO SECRETAN VENENO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png"
"NIDORAN♂",0.50,9.00,"BASICO","VENENO","PEQUEÑO PERO VALIENTE. ARRIESGARÍA LA VIDA EN COMBATE CON TAL DE PROTEGER A SU COMPAÑERA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png"
"NIDORINO",0.90,19.50,"INTERMEDIO","VENENO","ES NERVIOSO Y AGRESIVO POR NATURALEZA. CUANDO SUBEN SUS NIVELES DE ADRENALINA, LA CONCENTRACIÓN DE TOXINAS EN SU VENENO AUMENTA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png"
"NIDOKING",1.40,62.00,"FINAL","VENENO","PRESUME DE SU HERCÚLEA FUERZA Y COMBATE VIGOROSAMENTE CON SU ROBUSTA COLA Y SU CUERNO, CON EL QUE HASTA PUEDE PULVERIZAR DIAMANTES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png"
"CLEFAIRY",0.60,7.50,"INTERMEDIO","HADA","SU ADORABLE GRITO Y COMPORTAMIENTO LO HACEN MUY POPULAR. SIN EMBARGO, RARAMENTE SE AVISTA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png"
"CLEFABLE",1.30,40.00,"FINAL","HADA","SU OÍDO ES TAN FINO QUE PUEDE PERCIBIR CÓMO CAE UNA AGUJA A 1 KM DE DISTANCIA. POR ESO SUELE HABITAR EN LUGARES TRANQUILOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png"
"VULPIX",0.60,9.90,"BASICO","FUEGO","SU PELAJE SE VA VOLVIENDO MÁS SUAVE, LUSTROSO Y BELLO A MEDIDA QUE LE CRECEN LAS SEIS COLAS. AL ABRAZARLO, EMANA UNA LIGERA CALIDEZ.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png"
"NINETALES",1.10,19.90,"FINAL","FUEGO","MUY INTELIGENTE Y VENGATIVO. AGARRAR UNA DE SUS COLAS PODRÍA TRAER 1000 AÑOS DE MALA SUERTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png"
"JIGGLYPUFF",0.50,5.50,"INTERMEDIO","NORMAL","POSEE LA CAPACIDAD DE MODULAR SU VOZ A VOLUNTAD CAMBIANDO LA LONGITUD DE ONDA PARA ENTONAR UNA MELODÍA MISTERIOSA QUE PROVOCA ADORMECIMIENTO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png"
"WIGGLYTUFF",1.00,12.00,"FINAL","NORMAL","SE ENORGULLECE DE SU PELAJE FINO Y SEDOSO. EL RIZO DE LA FRENTE, EN ESPECIAL, POSEE UN TACTO SUBLIME.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png"
"ZUBAT",0.80,7.50,"BASICO","VENENO","HABITAN EN CUEVAS DONDE NO LLEGAN LOS RAYOS DEL SOL. DE DÍA, SE ACURRUCAN UNOS JUNTO A OTROS PARA ENTRAR EN CALOR MIENTRAS DUERMEN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png"
"GOLBAT",1.60,55.00,"INTERMEDIO","VENENO","CAMINA CON SOLTURA SOBRE SUS PEQUEÑAS PATAS. SE ACERCA CON SIGILO A SU PRESA MIENTRAS ESTA DUERME Y LE CLAVA LOS COLMILLOS PARA CHUPARLE LA SANGRE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png"
"ODDISH",0.50,5.40,"BASICO","PLANTA","DURANTE EL DÍA, SE AGAZAPA EN EL FRÍO SUBSUELO HUYENDO DEL SOL. LA LUZ DE LA LUNA LE HACE CRECER.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png"
"GLOOM",0.80,8.60,"INTERMEDIO","PLANTA","LO QUE PARECE BABA ES REALMENTE UN NÉCTAR MUY PEGAJOSO QUE SE ADHIERE SIN REMISIÓN AL TOCARLO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png"
"VILEPLUME",1.20,18.60,"FINAL","PLANTA","CUANTO MAYORES SON SUS PÉTALOS, MÁS TÓXICO ES SU POLEN. LE PESA LA CABEZA Y LE CUESTA MANTENERLA ERGUIDA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png"
"PARAS",0.30,5.40,"BASICO","BICHO","ESCARBA EN EL SUELO PARA EXTRAER NUTRIENTES DE LAS RAÍCES DE LOS ÁRBOLES, QUE LAS SETAS DEL LOMO ABSORBEN DESPUÉS CASI POR COMPLETO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png"
"PARASECT",1.00,29.50,"FINAL","BICHO","TRAS LARGO TIEMPO ABSORBIENDO LA ENERGÍA DEL HUÉSPED, LA SETA PARÁSITA DEL LOMO ES LA QUE PARECE CONTROLAR LA VOLUNTAD DE ESTE POKÉMON.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png"
"VENONAT",1.00,30.00,"BASICO","BICHO","SUS GRANDES OJOS ACTÚAN COMO RADARES. A PLENA LUZ SE PERCIBE QUE SON, EN REALIDAD, GRUPOS DE OJOS DIMINUTOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png"
"VENOMOTH",1.50,12.50,"FINAL","BICHO","LAS ALAS DESPRENDEN UN POLVILLO DE ESCAMAS IMPREGNADO DE TOXINAS QUE SE ADHIERE AL CONTACTO Y RESULTA DIFÍCIL DE QUITAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png"
"DIGLETT",0.20,0.80,"BASICO","TIERRA","ESTE POKÉMON AVANZA HORADANDO LA TIERRA A POCA PROFUNDIDAD. RESULTA FÁCIL LOCALIZARLO POR LOS MONTÍCULOS QUE DEJA COMO RASTRO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png"
"DUGTRIO",0.70,33.30,"FINAL","TIERRA","ESTOS TRILLIZOS CAVAN A UNA PROFUNDIDAD DE HASTA 100 KM. SE DESCONOCE EL ASPECTO DE LA PARTE DE SUS CUERPOS QUE SE OCULTA BAJO TIERRA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png"
"MEOWTH",0.40,4.20,"BASICO","NORMAL","SE LAVA CUIDADOSAMENTE LA CARA PARA QUE NO SE LE ENSUCIE LA MONEDA DE ORO QUE TIENE EN LA FRENTE. NO SE LLEVA NADA BIEN CON LOS MEOWTH DE GALAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png"
"PERSIAN",1.00,32.00,"FINAL","NORMAL","HACE GALA DE UN PORTE ELEGANTE Y MAJESTUOSO. NO CONGENIA CON LOS TOSCOS PERRSERKER Y AMBOS SE PROFESAN UN MUTUO DESPRECIO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png"
"PSYDUCK",0.80,19.60,"BASICO","AGUA","SUS DOLORES DE CABEZA EMPEORAN A MEDIDA QUE AUMENTA SU NIVEL DE ESTRÉS. SU INCREÍBLE PODER PSÍQUICO PUEDE CAUSAR ESTRAGOS A SU ALREDEDOR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png"
"GOLDUCK",1.70,76.60,"FINAL","AGUA","CUENTA UNA ANTIGUA LEYENDA QUE LOS GOLDUCK ARRASTRABAN A QUIENES CONTAMINARAN SUS RÍOS AL FONDO DE LAS AGUAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png"
"MANKEY",0.50,28.00,"BASICO","LUCHA","ESTE ÁGIL POKÉMON VIVE EN LOS ÁRBOLES. SE ENFADA CON FACILIDAD Y, CUANDO LO HACE, SE ABALANZA CONTRA TODO LO QUE SE ENCUENTRE A SU ALREDEDOR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png"
"PRIMEAPE",1.00,32.00,"INTERMEDIO","LUCHA","SOLO SE CALMA CUANDO NO HAY NADIE CERCA, POR LO QUE LLEGAR A VER ESE MOMENTO RESULTA VERDADERAMENTE DIFÍCIL.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png"
"GROWLITHE",0.70,19.00,"BASICO","FUEGO","EXTREMADAMENTE FIEL, LADRARÁ FURIOSO A CUALQUIERA QUE SUPONGA UNA AMENAZA PARA SU ENTRENADOR CON TAL DE DEFENDERLO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png"
"ARCANINE",1.90,155.00,"FINAL","FUEGO","MUCHOS HAN QUEDADO CAUTIVADOS POR SU BELLEZA DESDE LA ANTIGÜEDAD. CORRE ÁGILMENTE COMO SI TUVIERA ALAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png"
"POLIWAG",0.60,12.40,"BASICO","AGUA","EN RÍOS DE AGUAS BRAVAS, USA SUS GRUESOS LABIOS A MODO DE VENTOSA PARA ADHERIRSE A LAS ROCAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png"
"POLIWHIRL",1.00,20.00,"INTERMEDIO","AGUA","SECRETA UN SUDOR VISCOSO QUE LE SIRVE PARA ESCURRIRSE Y ESCAPAR DEL AGARRE DE SUS ENEMIGOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png"
"POLIWRATH",1.30,54.00,"FINAL","AGUA","NO SOLO ES UN EXPERTO NADADOR, SINO QUE TAMBIÉN DOMINA LAS ARTES MARCIALES. PROPINA ENÉRGICOS PUÑETAZOS GRACIAS A SUS MUSCULOSOS BRAZOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png"
"ABRA",0.90,19.50,"BASICO","PSIQUICO","PUEDE TELETRANSPORTARSE MIENTRAS DUERME. SE DICE QUE, CUANTO MÁS PROFUNDO SEA SU SUEÑO, MAYOR SERÁ LA DISTANCIA A LA QUE SE DESPLACE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png"
"KADABRA",1.30,56.50,"INTERMEDIO","PSIQUICO","LA POTENCIA DE SU TELEQUINESIS ES INMENSA. ACUMULA PODER PSÍQUICO EN LA ESTRELLA DE LA FRENTE COMO PREPARATIVO DE CARA A SU EVOLUCIÓN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png"
"ALAKAZAM",1.50,48.00,"FINAL","PSIQUICO","POSEE UNOS PODERES PSÍQUICOS EXTRAORDINARIOS CON LOS QUE, SEGÚN SE DICE, CREÓ LAS CUCHARAS QUE LLEVA EN LAS MANOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png"
"MACHOP",0.80,19.50,"BASICO","LUCHA","SIEMPRE REBOSANTE DE ENERGÍA, PASA EL TIEMPO LEVANTANDO PIEDRAS PARA HACERSE AÚN MÁS FUERTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png"
"MACHOKE",1.50,70.50,"INTERMEDIO","LUCHA","TIENE UNA COMPLEXIÓN TAN FUERTE QUE NUNCA SE CANSA. SUELE AYUDAR A LA GENTE A CARGAR OBJETOS PESADOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png"
"MACHAMP",1.60,130.00,"FINAL","LUCHA","PUEDE DAR VARIOS PUÑETAZOS DE UNA SOLA VEZ GRACIAS A SUS CUATRO BRAZOS. GOLPEA MÁS RÁPIDO DE LO QUE PIENSA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png"
"BELLSPROUT",0.70,4.00,"BASICO","PLANTA","PREFIERE LUGARES CÁLIDOS Y HÚMEDOS. ATRAPA PEQUEÑOS POKÉMON INSECTOS CON SUS LIANAS PARA DEVORARLOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png"
"WEEPINBELL",1.00,6.40,"INTERMEDIO","PLANTA","CUANDO TIENE HAMBRE, ENGULLE A TODO LO QUE SE MUEVE. LA POBRE PRESA ACABA DISUELTA EN SUS ÁCIDOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png"
"VICTREEBEL",1.70,15.50,"FINAL","PLANTA","ATRAE A SU PRESA CON UN DULCE AROMA A MIEL. UNA VEZ ATRAPADA EN LA BOCA, LA DISUELVE EN TAN SOLO UN DÍA, HUESOS INCLUIDOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png"
"TENTACOOL",0.90,45.50,"BASICO","AGUA","SU CUERPO ESTÁ COMPUESTO CASI POR COMPLETO DE AGUA, POR LO QUE RESULTA MUY DIFÍCIL DISTINGUIRLO CUANDO ESTÁ SUMERGIDO EN EL MAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png"
"TENTACRUEL",1.60,55.00,"FINAL","AGUA","PUEDE ESTIRAR Y CONTRAER CON TOTAL LIBERTAD SUS 80 TENTÁCULOS. CON ELLOS ATRAPA A SUS PRESAS Y LES INYECTA UN VENENO DEBILITANTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png"
"GEODUDE",0.40,20.00,"BASICO","ROCA","SE SUELE ENCONTRAR EN SENDEROS DE MONTAÑA Y SITIOS PARECIDOS. CONVIENE ANDAR CON CUIDADO PARA NO PISARLO SIN QUERER Y PROVOCAR SU ENFADO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png"
"GRAVELER",1.00,105.00,"INTERMEDIO","ROCA","SE LE SUELE VER RODANDO MONTAÑA ABAJO. NO EVITA LOS OBSTÁCULOS, SINO QUE LOS ARROLLA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png"
"GOLEM",1.40,300.00,"FINAL","ROCA","NADA MÁS MUDAR LA PIEL, SU CUERPO SE VUELVE BLANDO Y BLANQUECINO, PERO SE ENDURECE AL POCO TIEMPO DE ENTRAR EN CONTACTO CON EL AIRE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png"
"PONYTA",1.00,30.00,"BASICO","FUEGO","POR EXTRAÑO QUE PAREZCA, UNA VEZ QUE ALGUIEN SE HA HECHO MERECEDOR DE SU CONFIANZA, PUEDE TOCARLE LA ARDIENTE CRIN SIN QUEMARSE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png"
"RAPIDASH",1.70,95.00,"FINAL","FUEGO","EL EJEMPLAR MÁS RÁPIDO SE CONVIERTE EN EL LÍDER DE LA MANADA Y DECIDE TANTO EL RITMO DE GALOPE COMO SU DESTINO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png"
"SLOWPOKE",1.20,36.00,"BASICO","AGUA","HUNDE LA COLA EN EL AGUA Y LA USA CUAL CAÑA DE PESCAR. LA SUSTANCIA DULCE QUE SECRETA LE SIRVE DE CEBO PARA ATRAER A SUS PRESAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png"
"SLOWBRO",1.60,78.50,"FINAL","AGUA","SE VOLVIÓ BÍPEDO POR EL IMPACTO QUE LE CAUSÓ LA MORDEDURA DEL SHELLDER. SI ESTE SE DESPRENDE, VUELVE A CONVERTIRSE EN UN SLOWPOKE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png"
"MAGNEMITE",0.30,6.00,"BASICO","ELECTRICO","SE NUTRE DE ELECTRICIDAD. PUEDE FLOTAR EN EL AIRE GRACIAS A LAS ONDAS ELECTROMAGNÉTICAS QUE EMITE A TRAVÉS DE LAS UNIDADES DE SUS EXTREMIDADES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png"
"MAGNETON",1.00,60.00,"INTERMEDIO","ELECTRICO","EMITE DE FORMA CONSTANTE UNA POTENTE FUERZA MAGNÉTICA QUE CAUSA ESTRAGOS EN PRÁCTICAMENTE CUALQUIER ORDENADOR AL QUE SE ACERQUE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png"
"FARFETCH’D",0.80,15.00,"BASICO","NORMAL","COMBATE EMPUÑANDO UN PUERRO COMO ARMA. LA FORMA DE BLANDIRLO ES TAN VARIADA QUE HA LLEGADO A GENERAR SUS PROPIAS ESCUELAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png"
"DODUO",1.40,39.20,"BASICO","NORMAL","LAS DIMINUTAS ALAS APENAS LE PERMITEN VOLAR, PERO PUEDE CORRER A GRAN VELOCIDAD GRACIAS A SUS PATAS HIPERDESARROLLADAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png"
